2017-07-10 18:42:41,237 [10] INFO  Umbraco.Core.Profiling.LogProfiler - [Thread 6] [PluginManager] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter (took 2ms)
2017-07-10 18:42:41,237 [10] INFO  Umbraco.Core.PluginManager - [Thread 6] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,268 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,269 [10] INFO  Umbraco.Core.ApplicationContext - [Thread 6] CurrentVersion different from configStatus: '6.1.6','6.0.1'
2017-07-10 18:42:41,270 [10] INFO  Umbraco.Core.Profiling.LogProfiler - [Thread 6] [CoreBootManager] Umbraco application starting (took 94ms)
